path	bytes	mtime_epoch	sha256
specs/patches/16_local_telemetry_api.patch.md	298	1769016461	00bc4f7eb4fc79b564c27a79398e8bc0876c4b9cae4ab2b4519eafa9b5676178
specs/patches/event.schema.json	655	1769016461	89582ec3076e4345a10525e768e7a60672edb0352e6a9f48cd90251d16719ff1
specs/pilot-blueprint.md	8869	1769016461	ef6491d9b959d2d8cf2a63b80f681214c64bdc07def6b0f14dc1230513ef9ecd
specs/pilots/README.md	985	1769016461	429d9ba69734e8be8ef857974498b15f6d1e08192068d336ae99a0af1104dc0e
specs/pilots/pilot-aspose-3d-foss-python/expected_page_plan.json	89	1769016461	48175be528c1ee7354507c34614dc511f67105f6439a296122e50b406f59897a
specs/pilots/pilot-aspose-3d-foss-python/expected_validation_report.json	107	1769016461	d1aa40374735b870541ee7dbdf4bbeb1b8ef71b9becdb8f8c67b2f978db35773
specs/pilots/pilot-aspose-3d-foss-python/notes.md	204	1769016461	afb64d3a9effb525c70e7fff4075eeb429a4b42c19b064a9acb0b264f56c4bcd
specs/pilots/pilot-aspose-3d-foss-python/run_config.pinned.yaml	2037	1769016462	5309baf2fe32ff7f4c630ecb6172bd11514303b6d5503e11d6c941d21c6b6128
specs/pilots/pilot-aspose-note-foss-python/expected_page_plan.json	89	1769016462	48175be528c1ee7354507c34614dc511f67105f6439a296122e50b406f59897a
specs/pilots/pilot-aspose-note-foss-python/expected_validation_report.json	107	1769016462	d1aa40374735b870541ee7dbdf4bbeb1b8ef71b9becdb8f8c67b2f978db35773
specs/pilots/pilot-aspose-note-foss-python/notes.md	206	1769016462	8e56c66eeb46e85ba522d68e147a2186764e758802ae9310447d250e6935a355
specs/pilots/pilot-aspose-note-foss-python/run_config.pinned.yaml	2053	1769016462	645b189ccafd4723cf869d7d8c6b05bb6e5144c359715eb4a43b12290ba775a2
specs/reference/hugo-configs/README.md	522	1769016462	bdb65ca408a6a23b5b9f797519c13827bd9aa95cc3d6eb6683eda17eeda2952e
specs/reference/hugo-configs/configs/blog.aspose.org.yml	13016	1769016462	0378a8f76cf4f15e1fa87b5fd037b013170e3a75eef05f726273c185bdbd778c
specs/reference/hugo-configs/configs/common.toml	562	1769016462	bde744e2b29ccac3695a181afb24a01388e88f6a2a16f4e7e87af96fd9b37590
specs/reference/hugo-configs/configs/docs.aspose.org/home.toml	4757	1769016462	3f55d3f3ad967fe5667ad6d242e6734578082a7d47655117b274da19053aeede
specs/reference/hugo-configs/configs/docs.aspose.org/imaging.toml	5094	1769016462	b751cc2bb7a1a12b8892043a2a517e4aeb4cb7bf74a0b374d0756adc663b4ae2
specs/reference/hugo-configs/configs/docs.aspose.org/tex.toml	4994	1769016462	091719fc3b950baa6b79cd76b3e67b4af452ce339f08ffe48520dc7bfe493182
specs/reference/hugo-configs/configs/kb.aspose.org/barcode.toml	5047	1769016462	dc317804239911a2f3609709f3298b42e1a7e7d07603a2ce6b1fab8df4826792
specs/reference/hugo-configs/configs/kb.aspose.org/cells.toml	4997	1769016462	4eb3d8ec7b03de23f550da83b93c9a72c40d84d494649c7f410b41792a971dad
specs/reference/hugo-configs/configs/kb.aspose.org/home.toml	4422	1769016462	e2954854aa916c2e110dc18a8b819e0ba30cc9846130ec0784d59bb5bdadb033
specs/reference/hugo-configs/configs/kb.aspose.org/html.toml	4972	1769016462	aa2a61f21d285babf22abe7cea02f164338f36e4fe9b2475bc0c8edf7282d0de
specs/reference/hugo-configs/configs/kb.aspose.org/imaging.toml	5047	1769016462	ebcab01693e1943f1433e3cd3a503bcdc49e99d768bc28aa1da66fa3ea737d64
specs/reference/hugo-configs/configs/kb.aspose.org/ocr.toml	4947	1769016462	d6d10b7bb5a9e8d19da4b6353096a8f186f671ba67dcb3363e25d9990fd3e158
specs/reference/hugo-configs/configs/kb.aspose.org/page.toml	4972	1769016462	ab6625c860021c87c6a5fce391eb6a47e8029e64cea63847350720320a08283a
specs/reference/hugo-configs/configs/kb.aspose.org/pdf.toml	4947	1769016462	84830d9622e4980a97f7181e2d2bcdf838ff162fbd8192690b4cb0cdb2175d52
specs/reference/hugo-configs/configs/kb.aspose.org/psd.toml	4947	1769016462	8a770445ba990c1897b148fb2d5392319ebfa8bcd1b83e9e8013f2eac8255dd7
specs/reference/hugo-configs/configs/kb.aspose.org/tasks.toml	4997	1769016462	52e88e3b8df6ed83238d127c0ba118893cf253b9d13e6464bcc6b8805e026da8
specs/reference/hugo-configs/configs/kb.aspose.org/tex.toml	4947	1769016462	5c008a2c91b45981bb430cedd2d71dd447a979183cd2a77d1f70dafcdb7f4e73
specs/reference/hugo-configs/configs/kb.aspose.org/words.toml	4999	1769016462	2eb990f8afbcb4600f493c499283dce4ede269d23b767376f1dc1e470c7f2b00
specs/reference/hugo-configs/configs/kb.aspose.org/zip.toml	4947	1769016462	9732b0ef216a49dc9f5b98e5550a759341677cf6ba0650a4a2e5f552da252ba1
