Branch_B,Candidate_C,PlusCount_B_not_in_C
feat/TC-520-telemetry-api-setup,integrate/main-e2e-20260128-0837,0
feat/TC-520-telemetry-api-setup,fix/main-green-20260128-1505,0
feat/TC-520-telemetry-api-setup,fix/env-gates-20260128-1615,0
feat/TC-520-telemetry-api-setup,feat/TC-600-failure-recovery,0
feat/TC-520-telemetry-api-setup,feat/golden-2pilots-20260201,63
feat/TC-521-telemetry-run-endpoints,impl/tc300-wire-orchestrator-20260128,29
feat/TC-521-telemetry-run-endpoints,integrate/main-e2e-20260128-0837,0
feat/TC-521-telemetry-run-endpoints,fix/main-green-20260128-1505,0
feat/TC-521-telemetry-run-endpoints,fix/env-gates-20260128-1615,0
feat/TC-521-telemetry-run-endpoints,feat/TC-600-failure-recovery,0
feat/TC-521-telemetry-run-endpoints,feat/golden-2pilots-20260201,64
feat/TC-522-telemetry-batch-upload,impl/tc300-wire-orchestrator-20260128,29
feat/TC-522-telemetry-batch-upload,integrate/main-e2e-20260128-0837,0
feat/TC-522-telemetry-batch-upload,fix/main-green-20260128-1505,0
feat/TC-522-telemetry-batch-upload,fix/env-gates-20260128-1615,0
feat/TC-522-telemetry-batch-upload,feat/TC-600-failure-recovery,0
feat/TC-522-telemetry-batch-upload,feat/golden-2pilots-20260201,65
feat/TC-523-telemetry-metadata-endpoints,impl/tc300-wire-orchestrator-20260128,29
feat/TC-523-telemetry-metadata-endpoints,integrate/main-e2e-20260128-0837,0
feat/TC-523-telemetry-metadata-endpoints,fix/main-green-20260128-1505,0
feat/TC-523-telemetry-metadata-endpoints,fix/env-gates-20260128-1615,0
feat/TC-523-telemetry-metadata-endpoints,feat/TC-600-failure-recovery,0
feat/TC-523-telemetry-metadata-endpoints,feat/golden-2pilots-20260201,66
feat/TC-530-cli-entrypoints,impl/tc300-wire-orchestrator-20260128,29
feat/TC-530-cli-entrypoints,integrate/main-e2e-20260128-0837,0
feat/TC-530-cli-entrypoints,fix/main-green-20260128-1505,0
feat/TC-530-cli-entrypoints,fix/env-gates-20260128-1615,0
feat/TC-530-cli-entrypoints,feat/TC-600-failure-recovery,0
feat/TC-530-cli-entrypoints,feat/golden-2pilots-20260201,62
feat/TC-540-content-path-resolver,impl/tc300-wire-orchestrator-20260128,30
feat/TC-540-content-path-resolver,integrate/main-e2e-20260128-0837,0
feat/TC-540-content-path-resolver,fix/main-green-20260128-1505,0
feat/TC-540-content-path-resolver,fix/env-gates-20260128-1615,0
feat/TC-540-content-path-resolver,feat/TC-600-failure-recovery,0
feat/TC-540-content-path-resolver,feat/golden-2pilots-20260201,69
feat/TC-550-hugo-config,impl/tc300-wire-orchestrator-20260128,30
feat/TC-550-hugo-config,integrate/main-e2e-20260128-0837,0
feat/TC-550-hugo-config,fix/main-green-20260128-1505,0
feat/TC-550-hugo-config,fix/env-gates-20260128-1615,0
feat/TC-550-hugo-config,feat/TC-600-failure-recovery,0
feat/TC-550-hugo-config,feat/golden-2pilots-20260201,71
feat/TC-560-determinism-harness,impl/tc300-wire-orchestrator-20260128,31
feat/TC-560-determinism-harness,integrate/main-e2e-20260128-0837,0
feat/TC-560-determinism-harness,fix/main-green-20260128-1505,0
feat/TC-560-determinism-harness,fix/env-gates-20260128-1615,0
feat/TC-560-determinism-harness,feat/TC-600-failure-recovery,0
feat/TC-560-determinism-harness,feat/golden-2pilots-20260201,74
feat/TC-570-extended-gates,impl/tc300-wire-orchestrator-20260128,27
